image,method,face_count,eye_count,elapsed_ms
sample_lena.jpg,original,1,2,708.727
sample_lena.jpg,gray,1,2,26.095
sample_lena.jpg,hist_eq,1,2,25.071
sample_lena.jpg,clahe,1,2,32.595
sample_lena.jpg,gaussian_clahe,1,2,34.859
sample_lena.jpg,median_clahe,1,2,28.236
sample_lena.jpg,gamma_clahe,1,2,26.016
sample_lowlight.jpg,original,1,2,22.562
sample_lowlight.jpg,gray,1,2,19.792
sample_lowlight.jpg,hist_eq,1,2,23.87
sample_lowlight.jpg,clahe,1,2,25.377
sample_lowlight.jpg,gaussian_clahe,1,2,24.735
sample_lowlight.jpg,median_clahe,1,2,26.865
sample_lowlight.jpg,gamma_clahe,1,2,25.723
sample_noise.jpg,original,1,1,29.167
sample_noise.jpg,gray,1,1,26.563
sample_noise.jpg,hist_eq,1,1,28.35
sample_noise.jpg,clahe,1,1,28.657
sample_noise.jpg,gaussian_clahe,2,2,30.218
sample_noise.jpg,median_clahe,2,2,28.616
sample_noise.jpg,gamma_clahe,1,1,23.837
